Te_eV,ne_cm3,ACD_cm3s
1.0,1000000000000.0,4.883823946705108e-13
1.0,3000000000000.0,5.287990299559881e-13
1.0,10000000000000.0,5.959365192559276e-13
1.0,30000000000000.0,6.97925963396168e-13
1.0,100000000000000.0,8.850340914245868e-13
1.0,300000000000000.0,1.1709607324590952e-12
1.0,1000000000000000.0,1.6856988867389031e-12
1.0,2000000000000000.0,2.1271102408313483e-12
1.2,1000000000000.0,4.090451233805302e-13
1.2,3000000000000.0,4.3737454480120225e-13
1.2,10000000000000.0,4.839761813126863e-13
1.2,30000000000000.0,5.531470414382972e-13
1.2,100000000000000.0,6.758604431910236e-13
1.2,300000000000000.0,8.569277636839737e-13
1.2,1000000000000000.0,1.1669860679153253e-12
1.2,2000000000000000.0,1.4259294251947653e-12
1.5,1000000000000.0,3.316338366853489e-13
1.5,3000000000000.0,3.500194834857467e-13
1.5,10000000000000.0,3.799431934739545e-13
1.5,30000000000000.0,4.2326108788733063e-13
1.5,100000000000000.0,4.975862103844848e-13
1.5,300000000000000.0,6.03293799724808e-13
1.5,1000000000000000.0,7.752429105982525e-13
1.5,2000000000000000.0,9.156038806905766e-13
1.8,1000000000000.0,2.806856262827107e-13
1.8,3000000000000.0,2.9359368328468227e-13
1.8,10000000000000.0,3.144194154232375e-13
1.8,30000000000000.0,3.4401430096947115e-13
1.8,100000000000000.0,3.9366827426009213e-13
1.8,300000000000000.0,4.624849942512994e-13
1.8,1000000000000000.0,5.706466236731513e-13
1.8,2000000000000000.0,6.577944019817485e-13
2.0,1000000000000.0,2.5525837719947697e-13
2.0,3000000000000.0,2.657684235403343e-13
2.0,10000000000000.0,2.8264415209917317e-13
2.0,30000000000000.0,3.063901591267411e-13
2.0,100000000000000.0,3.457880696907341e-13
2.0,300000000000000.0,3.9965956340813797e-13
2.0,1000000000000000.0,4.828808768613909e-13
2.0,2000000000000000.0,5.495155751951782e-13
2.5,1000000000000.0,2.0927724616308544e-13
2.5,3000000000000.0,2.1604632213539722e-13
2.5,10000000000000.0,2.2682696094225002e-13
2.5,30000000000000.0,2.4171798742862155e-13
2.5,100000000000000.0,2.659391452977012e-13
2.5,300000000000000.0,2.9821690556406603e-13
2.5,1000000000000000.0,3.465030651611361e-13
2.5,2000000000000000.0,3.8468912817821567e-13
3.2,1000000000000.0,1.684907048018287e-13
3.2,3000000000000.0,1.7261258184498912e-13
3.2,10000000000000.0,1.7912972680422292e-13
3.2,30000000000000.0,1.879817321452924e-13
3.2,100000000000000.0,2.0213199236015907e-13
3.2,300000000000000.0,2.2053067497227055e-13
3.2,1000000000000000.0,2.472984685796899e-13
3.2,2000000000000000.0,2.6823202597573765e-13
4.0,1000000000000.0,1.3872727130117207e-13
4.0,3000000000000.0,1.4133004171807883e-13
4.0,10000000000000.0,1.4541504331317e-13
4.0,30000000000000.0,1.5089536379771533e-13
4.0,100000000000000.0,1.5953960961048225e-13
4.0,300000000000000.0,1.705744833251817e-13
4.0,1000000000000000.0,1.863646263816235e-13
4.0,2000000000000000.0,1.9864009674219258e-13
5.0,1000000000000.0,1.142641507685912e-13
5.0,3000000000000.0,1.1588069901272715e-13
5.0,10000000000000.0,1.1839408242720392e-13
5.0,30000000000000.0,1.217264979378088e-13
5.0,100000000000000.0,1.2692290265609062e-13
5.0,300000000000000.0,1.3347205861917532e-13
5.0,1000000000000000.0,1.4276113594150134e-13
5.0,2000000000000000.0,1.4995121683191687e-13
6.3,1000000000000.0,9.339377618892853e-14
6.3,3000000000000.0,9.43547619684689e-14
6.3,10000000000000.0,9.583407433486787e-14
6.3,30000000000000.0,9.776864666540595e-14
6.3,100000000000000.0,1.0075568237460566e-13
6.3,300000000000000.0,1.0449454642117645e-13
6.3,1000000000000000.0,1.0976780679368825e-13
6.3,2000000000000000.0,1.1382403965133249e-13
8.0,1000000000000.0,7.566827554801502e-14
8.0,3000000000000.0,7.621290352663744e-14
8.0,10000000000000.0,7.706064757922925e-14
8.0,30000000000000.0,7.816622689895246e-14
8.0,100000000000000.0,7.985038858160946e-14
8.0,300000000000000.0,8.189508740665775e-14
8.0,1000000000000000.0,8.469251138159849e-14
8.0,2000000000000000.0,8.683127955902977e-14
10.0,1000000000000.0,6.200261406738457e-14
10.0,3000000000000.0,6.230964218595118e-14
10.0,10000000000000.0,6.280294363229883e-14
10.0,30000000000000.0,6.345265285988177e-14
10.0,100000000000000.0,6.4425826693592e-14
10.0,300000000000000.0,6.553961124903694e-14
10.0,1000000000000000.0,6.697458018313432e-14
10.0,2000000000000000.0,6.806753132466689e-14
