Te_eV,ne_cm3,SCD_cm3s
1.0,1000000000000.0,1.4477380871939006e-14
1.0,3000000000000.0,1.6691826981807828e-14
1.0,10000000000000.0,2.047481564181083e-14
1.0,30000000000000.0,2.6330505077309896e-14
1.0,100000000000000.0,3.697515472440818e-14
1.0,300000000000000.0,5.2956495049091624e-14
1.0,1000000000000000.0,8.197850612375734e-14
1.0,2000000000000000.0,1.0750285502155974e-13
1.2,1000000000000.0,1.4143721634736582e-13
1.2,3000000000000.0,1.6126847625944429e-13
1.2,10000000000000.0,1.951898780659211e-13
1.2,30000000000000.0,2.4660149291000075e-13
1.2,100000000000000.0,3.3627404518187534e-13
1.2,300000000000000.0,4.647814076843992e-13
1.2,1000000000000000.0,6.840592895907523e-13
1.2,2000000000000000.0,8.693539296132324e-13
1.5,1000000000000.0,1.409131905699763e-12
1.5,3000000000000.0,1.5860023430739257e-12
1.5,10000000000000.0,1.8892154274600385e-12
1.5,30000000000000.0,2.338119293191484e-12
1.5,100000000000000.0,3.088383287267254e-12
1.5,300000000000000.0,4.111951663196054e-12
1.5,1000000000000000.0,5.748714663309354e-12
1.5,2000000000000000.0,7.080771876077371e-12
1.8,1000000000000.0,6.64236886825304e-12
1.8,3000000000000.0,7.399273351840174e-12
1.8,10000000000000.0,8.693245633294975e-12
1.8,30000000000000.0,1.0571449892719359e-11
1.8,100000000000000.0,1.3632168084404805e-11
1.8,300000000000000.0,1.7695909262087558e-11
1.8,1000000000000000.0,2.3957161472156122e-11
1.8,2000000000000000.0,2.8964581632255696e-11
2.0,1000000000000.0,1.4519109124487412e-11
2.0,3000000000000.0,1.6081206709260726e-11
2.0,10000000000000.0,1.874346889974529e-11
2.0,30000000000000.0,2.2564103013670566e-11
2.0,100000000000000.0,2.871441487249081e-11
2.0,300000000000000.0,3.6777617411124735e-11
2.0,1000000000000000.0,4.899479806859439e-11
2.0,2000000000000000.0,5.870160438889227e-11
2.5,1000000000000.0,6.020247379757083e-11
2.5,3000000000000.0,6.593543054303431e-11
2.5,10000000000000.0,7.563414602422846e-11
2.5,30000000000000.0,8.924583602007736e-11
2.5,100000000000000.0,1.1060596789367654e-10
2.5,300000000000000.0,1.3784901965665844e-10
2.5,1000000000000000.0,1.7786569411749362e-10
2.5,2000000000000000.0,2.0930469281021212e-10
3.2,1000000000000.0,2.1408765974288696e-10
3.2,3000000000000.0,2.31866281060336e-10
3.2,10000000000000.0,2.6170480365003626e-10
3.2,30000000000000.0,3.0270109531452355e-10
3.2,100000000000000.0,3.654329028584343e-10
3.2,300000000000000.0,4.431564597438227e-10
3.2,1000000000000000.0,5.541965985214524e-10
3.2,2000000000000000.0,6.406177015956886e-10
4.0,1000000000000.0,5.436850203398654e-10
4.0,3000000000000.0,5.834299008578732e-10
4.0,10000000000000.0,6.49664698331339e-10
4.0,30000000000000.0,7.391930429573813e-10
4.0,100000000000000.0,8.738738529356419e-10
4.0,300000000000000.0,1.0375112919707767e-09
4.0,1000000000000000.0,1.267561304551197e-09
4.0,2000000000000000.0,1.445759263942068e-09
5.0,1000000000000.0,1.1712511047898195e-09
5.0,3000000000000.0,1.2463236617553828e-09
5.0,10000000000000.0,1.36999825234141e-09
5.0,30000000000000.0,1.534571443372386e-09
5.0,100000000000000.0,1.7792214776668851e-09
5.0,300000000000000.0,2.0740324147544293e-09
5.0,1000000000000000.0,2.4892012582995812e-09
5.0,2000000000000000.0,2.8120951467681313e-09
6.3,1000000000000.0,2.259563370178283e-09
6.3,3000000000000.0,2.3856094057146515e-09
6.3,10000000000000.0,2.5896649142876536e-09
6.3,30000000000000.0,2.856945446431063e-09
6.3,100000000000000.0,3.2511581911912867e-09
6.3,300000000000000.0,3.727971325326083e-09
6.3,1000000000000000.0,4.414597092280997e-09
6.3,2000000000000000.0,4.957215357425576e-09
8.0,1000000000000.0,3.954341797730084e-09
8.0,3000000000000.0,4.14675888776457e-09
8.0,10000000000000.0,4.460170870488585e-09
8.0,30000000000000.0,4.869255671197988e-09
8.0,100000000000000.0,5.468003624404973e-09
8.0,300000000000000.0,6.180974938223127e-09
8.0,1000000000000000.0,7.206514959573258e-09
8.0,2000000000000000.0,8.030484671051103e-09
10.0,1000000000000.0,6.095790040116638e-09
10.0,3000000000000.0,6.359122573890481e-09
10.0,10000000000000.0,6.797512266977354e-09
10.0,30000000000000.0,7.3726317192918505e-09
10.0,100000000000000.0,8.208995167423766e-09
10.0,300000000000000.0,9.177700365731836e-09
10.0,1000000000000000.0,1.0544111748262664e-08
10.0,2000000000000000.0,1.165520721941753e-08
