idx,n,l,label,I_n_eV,source
0,1,0,1S,13.6058,CCC_TICS
1,2,0,2S,3.40145,CCC_TICS
2,2,1,2P,3.40145,CCC_TICS
3,3,0,3S,1.511756,CCC_TICS
4,3,1,3P,1.511756,CCC_TICS
5,3,2,3D,1.511756,CCC_TICS
6,4,0,4S,0.850363,CCC_TICS
7,4,1,4P,0.850363,CCC_TICS
8,4,2,4D,0.850363,CCC_TICS
9,4,3,4F,0.850363,CCC_TICS
10,5,0,5S,0.544232,CCC_TICS
11,5,1,5P,0.544232,CCC_TICS
12,5,2,5D,0.544232,CCC_TICS
13,5,3,5F,0.544232,CCC_TICS
14,5,4,5G,0.544232,CCC_TICS
15,6,0,6S,0.377939,CCC_TICS
16,6,1,6P,0.377939,CCC_TICS
17,6,2,6D,0.377939,CCC_TICS
18,6,3,6F,0.377939,CCC_TICS
19,6,4,6G,0.377939,CCC_TICS
20,6,5,6H,0.377939,CCC_TICS
21,7,0,7S,0.277669,CCC_TICS
22,7,1,7P,0.277669,CCC_TICS
23,7,2,7D,0.277669,CCC_TICS
24,7,3,7F,0.277669,CCC_TICS
25,7,4,7G,0.277669,CCC_TICS
26,7,5,7H,0.277669,CCC_TICS
27,7,6,7I,0.277669,CCC_TICS
28,8,0,8S,0.212591,CCC_TICS
29,8,1,8P,0.212591,CCC_TICS
30,8,2,8D,0.212591,CCC_TICS
31,8,3,8F,0.212591,CCC_TICS
32,8,4,8G,0.212591,CCC_TICS
33,8,5,8H,0.212591,CCC_TICS
34,8,6,8I,0.212591,CCC_TICS
35,8,7,8J,0.212591,CCC_TICS
