state_idx,n,l,label,type,I_n_eV,g_nl,RR_source,3BR_source
0,1,0,1S,resolved,13.6058,2,Johnson1972_Eq7_3term,DB_CCC_TICS
1,2,0,2S,resolved,3.40145,2,Johnson1972_Eq7_3term,DB_CCC_TICS
2,2,1,2P,resolved,3.40145,6,Johnson1972_Eq7_3term,DB_CCC_TICS
3,3,0,3S,resolved,1.511756,2,Johnson1972_Eq7_3term,DB_CCC_TICS
4,3,1,3P,resolved,1.511756,6,Johnson1972_Eq7_3term,DB_CCC_TICS
5,3,2,3D,resolved,1.511756,10,Johnson1972_Eq7_3term,DB_CCC_TICS
6,4,0,4S,resolved,0.850363,2,Johnson1972_Eq7_3term,DB_CCC_TICS
7,4,1,4P,resolved,0.850363,6,Johnson1972_Eq7_3term,DB_CCC_TICS
8,4,2,4D,resolved,0.850363,10,Johnson1972_Eq7_3term,DB_CCC_TICS
9,4,3,4F,resolved,0.850363,14,Johnson1972_Eq7_3term,DB_CCC_TICS
10,5,0,5S,resolved,0.544232,2,Johnson1972_Eq7_3term,DB_CCC_TICS
11,5,1,5P,resolved,0.544232,6,Johnson1972_Eq7_3term,DB_CCC_TICS
12,5,2,5D,resolved,0.544232,10,Johnson1972_Eq7_3term,DB_CCC_TICS
13,5,3,5F,resolved,0.544232,14,Johnson1972_Eq7_3term,DB_CCC_TICS
14,5,4,5G,resolved,0.544232,18,Johnson1972_Eq7_3term,DB_CCC_TICS
15,6,0,6S,resolved,0.377939,2,Johnson1972_Eq7_3term,DB_CCC_TICS
16,6,1,6P,resolved,0.377939,6,Johnson1972_Eq7_3term,DB_CCC_TICS
17,6,2,6D,resolved,0.377939,10,Johnson1972_Eq7_3term,DB_CCC_TICS
18,6,3,6F,resolved,0.377939,14,Johnson1972_Eq7_3term,DB_CCC_TICS
19,6,4,6G,resolved,0.377939,18,Johnson1972_Eq7_3term,DB_CCC_TICS
20,6,5,6H,resolved,0.377939,22,Johnson1972_Eq7_3term,DB_CCC_TICS
21,7,0,7S,resolved,0.277669,2,Johnson1972_Eq7_3term,DB_CCC_TICS
22,7,1,7P,resolved,0.277669,6,Johnson1972_Eq7_3term,DB_CCC_TICS
23,7,2,7D,resolved,0.277669,10,Johnson1972_Eq7_3term,DB_CCC_TICS
24,7,3,7F,resolved,0.277669,14,Johnson1972_Eq7_3term,DB_CCC_TICS
25,7,4,7G,resolved,0.277669,18,Johnson1972_Eq7_3term,DB_CCC_TICS
26,7,5,7H,resolved,0.277669,22,Johnson1972_Eq7_3term,DB_CCC_TICS
27,7,6,7I,resolved,0.277669,26,Johnson1972_Eq7_3term,DB_CCC_TICS
28,8,0,8S,resolved,0.212591,2,Johnson1972_Eq7_3term,DB_CCC_TICS
29,8,1,8P,resolved,0.212591,6,Johnson1972_Eq7_3term,DB_CCC_TICS
30,8,2,8D,resolved,0.212591,10,Johnson1972_Eq7_3term,DB_CCC_TICS
31,8,3,8F,resolved,0.212591,14,Johnson1972_Eq7_3term,DB_CCC_TICS
32,8,4,8G,resolved,0.212591,18,Johnson1972_Eq7_3term,DB_CCC_TICS
33,8,5,8H,resolved,0.212591,22,Johnson1972_Eq7_3term,DB_CCC_TICS
34,8,6,8I,resolved,0.212591,26,Johnson1972_Eq7_3term,DB_CCC_TICS
35,8,7,8J,resolved,0.212591,30,Johnson1972_Eq7_3term,DB_CCC_TICS
36,9,-1,n9(bund),bundled,0.167973,162,Johnson1972_Eq7_3term,DB_CCC_TICS9
37,10,-1,n10(bund),bundled,0.136058,200,Johnson1972_Eq7_3term,DB_Lotz1968
38,11,-1,n11(bund),bundled,0.112445,242,Johnson1972_Eq7_3term,DB_Lotz1968
39,12,-1,n12(bund),bundled,0.094485,288,Johnson1972_Eq7_3term,DB_Lotz1968
40,13,-1,n13(bund),bundled,0.080508,338,Johnson1972_Eq7_3term,DB_Lotz1968
41,14,-1,n14(bund),bundled,0.069417,392,Johnson1972_Eq7_3term,DB_Lotz1968
42,15,-1,n15(bund),bundled,0.06047,450,Johnson1972_Eq7_3term,DB_Lotz1968
