Te_eV,ne_cm3,SCD_cm3_s,ACD_cm3_s,tau_s,x_inf
2.0,1000000000000.0,1.8743468704623013e-11,2.826441521722914e-13,0.052559343441655415,0.9851444089342011
2.0,10000000000000.0,2.8714414575871726e-11,3.4578806987263326e-13,0.0034411322322504254,0.9881009752723362
2.0,100000000000000.0,4.899479757620066e-11,4.82880877312301e-13,0.00020211134217616047,0.9902404297775208
2.0,1000000000000000.0,9.96896266388041e-11,8.366811977078785e-13,9.947644766047917e-06,0.9916769926627705
2.0,2000000000000000.0,1.2537183109882157e-10,1.026691600877602e-12,3.955742435280773e-06,0.9918773449329242
3.0,1000000000000.0,1.9418013513327224e-10,1.904139809445391e-13,0.005144812341978703,0.9990203558007512
3.0,10000000000000.0,2.742866009545267e-10,2.1685462262649545e-13,0.0003642941389927004,0.999210011319637
3.0,100000000000000.0,4.220115711721784e-10,2.6936951261907767e-13,2.3680917220141094e-05,0.9993621082870038
3.0,1000000000000000.0,7.496940461475053e-10,3.8956330275254193e-13,1.333184710878975e-06,0.9994806401608508
3.0,2000000000000000.0,8.861228541129514e-10,4.438414819719071e-13,5.639733620542547e-07,0.9994993704543863
5.0,1000000000000.0,1.3699982470301142e-09,1.1839408243081552e-13,0.0007298648669707365,0.9999135883187765
5.0,10000000000000.0,1.7792214710873201e-09,1.2692290267911922e-13,5.62003485870244e-05,0.9999286688862575
5.0,100000000000000.0,2.4892012494839568e-09,1.427611359971726e-13,4.017122566161344e-06,0.9999426511019015
5.0,1000000000000000.0,3.9179601082512734e-09,1.7533959300430327e-13,2.552234381152369e-07,0.9999552492262357
5.0,2000000000000000.0,4.404534426558082e-09,1.8802257381501347e-13,1.1351453031928091e-07,0.999957313411688
8.0,1000000000000.0,4.3526018701014755e-09,7.703387662238953e-14,0.00022974357219092306,0.999982301962005
8.0,10000000000000.0,5.34421207321174e-09,7.989098378960037e-14,1.871155256298818e-05,0.9999850511565751
8.0,100000000000000.0,7.050019895232852e-09,8.485592297579876e-14,1.4184186409940295e-06,0.9999879638777052
8.0,1000000000000000.0,1.0474740812223405e-08,9.443595984170472e-14,9.546689530734526e-08,0.9999909844921085
8.0,2000000000000000.0,1.1519563747788616e-08,9.810867481084346e-14,4.340405180551901e-08,0.9999914833719918
10.0,1000000000000.0,6.79751226697741e-09,6.280294363229985e-14,0.00014711128449687214,0.9999907609782921
10.0,10000000000000.0,8.208995167423832e-09,6.442582669359252e-14,1.2181663303092577e-05,0.999992151862712
10.0,100000000000000.0,1.0544111748262729e-08,6.69745801831346e-14,9.483906013785593e-07,0.9999936481937622
10.0,1000000000000000.0,1.5208976890520456e-08,7.177612363837872e-14,6.575033205023283e-08,0.9999952806960374
10.0,2000000000000000.0,1.657372007470007e-08,7.371739838873319e-14,3.016810793424825e-08,0.9999955521711374
